@RELATION players

@ATTRIBUTE gp numeric
@ATTRIBUTE age numeric
@ATTRIBUTE min numeric
@ATTRIBUTE fgm numeric
@ATTRIBUTE fga numeric
@ATTRIBUTE ftm numeric
@ATTRIBUTE fta numeric
@ATTRIBUTE reb numeric
@ATTRIBUTE ast numeric
@ATTRIBUTE stl numeric
@ATTRIBUTE blk numeric
@ATTRIBUTE tov numeric
@ATTRIBUTE pts numeric
@ATTRIBUTE season numeric
@ATTRIBUTE fppg numeric

@DATA
59,27,25.6,3.3,7.6,1.9,2.2,1.9,1.7,0.5,0.1,0.9,10.1,NaN,12.6
79,25,24.9,4.3,9.9,2.1,2.8,4.1,2.2,1.2,0.2,1.3,12.3,NaN,14.5
79,23,27.8,4.2,7.6,1.7,2.9,8,0.5,0.5,2.4,1.3,10.1,NaN,18.3
18,33,8.8,0.7,1.2,0.5,1,3.4,0.2,0.2,0.1,0.3,1.9,NaN,4.4
76,31,30.2,4.8,11.5,2.9,3.4,1.7,3.2,0.8,0.2,1.9,14.2,NaN,14.3
59,31,17.7,1.7,4.2,0.3,0.3,2.8,0.9,0.5,0.6,0.4,4.3,NaN,5.3
76,29,30.5,4.9,11,1.7,2.1,3,6,1,0,2.6,13.1,NaN,17.5
26,22,11,1.2,3.1,0.5,0.7,0.9,0.7,0.1,0.2,0.5,3.6,NaN,4.5
82,21,26.7,3.6,8.3,3.5,4.2,3.1,2.1,1.1,0.3,1.3,12.2,NaN,22
38,24,21.6,2.8,6.2,1.2,1.9,3.7,2.3,0.9,1,1.7,7.1,NaN,14.8
81,30,19.1,1.8,4.3,0.7,0.9,2,0.5,0.4,0.2,0.3,5.9,NaN,3.7
49,34,17.1,1.7,4.9,0.2,0.3,3,0.7,0.5,0.1,0.5,4.9,NaN,0
82,25,26.1,3.7,7.7,2,2.7,3.9,1.3,1.1,0.2,0.9,10.6,NaN,15.4
42,29,14.3,0.7,2,0.3,0.7,2.8,0.9,0.7,0.4,0.5,1.8,NaN,8.3
83,27,20.8,3.1,7.7,2.2,2.6,2.1,2.9,0.7,0.1,1.3,8.9,NaN,21.6
28,32,6.5,0.2,0.8,0.3,0.4,0.9,0.1,0.1,0,0.3,0.7,NaN,0
49,32,12.1,0.7,1.4,0.6,0.8,2.1,0.4,0.2,0.2,0.5,2,NaN,2.7
24,30,4.6,0.3,1.2,0,0.1,0.5,0.2,0.1,0,0.1,0.7,NaN,2
80,38,33.2,2.7,7.5,0.8,1,4.4,8.2,1.7,0.4,2.2,7.9,NaN,15.9
57,28,16.3,1.6,3.3,0.9,1.7,3,0.3,0.4,0.4,0.8,4.2,NaN,10.8
80,30,33.9,5.9,13.2,1.5,2,4.1,1.8,1.2,0.2,1.2,15.6,NaN,12.7
77,25,14.3,1.8,4,0.8,0.9,3.1,0.5,0.3,0.4,0.7,4.3,NaN,13.7
82,33,31.3,6,13.3,2.2,2.6,1.9,4.1,1.1,0.2,2,15.8,NaN,16.7
75,24,23.3,3.6,7.1,1.6,2.7,6.1,1.2,0.4,0.6,1.3,8.8,NaN,15.3
27,35,10.9,0.8,2.5,0,0,1.1,1.9,0.4,0,0.7,2,NaN,0
26,28,15,1.6,4.8,0.3,0.5,1.8,0.8,0.3,0.1,0.6,4,NaN,0
23,25,8.5,1,2.3,0.5,0.8,2.5,0.4,0.2,0.2,0.4,2.5,NaN,4.3
56,34,16.8,1.4,3,0.5,0.9,6.3,0.8,0.4,0.6,0.5,3.3,NaN,6.8
75,24,32.4,4.9,10.9,2.6,3.3,4.8,1.4,0.7,0.5,1.3,13.3,NaN,0
70,23,13.8,1.9,4.3,1.1,1.4,1.5,2,0.6,0.4,0.9,5.2,NaN,18
49,23,9.4,1.6,2.3,0.5,0.8,2,0.5,0.3,0.3,0.4,3.6,NaN,4.7
29,22,9.8,1,2.5,0.7,0.9,1.2,1.4,1.1,0.3,0.6,2.6,NaN,22.2
24,32,18,2.1,4.5,1.2,1.8,3.7,0.5,0.1,1.3,1.1,5.4,NaN,10.6
34,24,14.2,2.8,5.8,0.6,0.8,1.8,0.9,0.4,0.1,1.4,6.6,NaN,0
7,36,7.1,0.4,1.7,0.7,1,1,0.4,0,0.3,0.3,1.7,NaN,3.5
71,22,21.1,3.1,7.3,2.3,2.9,2.3,3.7,0.5,0.1,1.8,9.2,NaN,14.4
48,26,32.8,4.4,8.4,2.9,3.9,10.4,2.2,1,1.5,1.9,11.7,NaN,21.5
74,23,27.9,3.3,7.7,2.1,2.3,2.3,1.1,0.9,0.1,0.8,10.5,NaN,8.5
72,30,35.5,7.1,16.1,2.7,3.4,4,4.7,0.7,0.1,2,18.2,NaN,20.4
16,35,4.3,0.2,1,0.1,0.1,1.3,0.3,0,0.3,0.3,0.5,NaN,0
75,28,19.5,0.7,1.3,0.6,1,3.5,0.3,0.1,1.2,0.5,2,NaN,8.7
36,31,14.4,0.7,1.2,0.4,0.8,4,0.4,0.1,0.4,0.8,1.8,NaN,7.7
43,27,12.1,1.2,2.3,0.7,1.5,4.4,0.6,0.6,0.4,0.9,3.1,NaN,0
39,29,15,2.1,4.6,0.7,0.9,2.2,0.5,0.2,0.2,0.7,5.2,NaN,0
77,25,11.6,1.7,3.8,0.2,0.4,2.8,0.6,0.4,0.4,0.6,3.5,NaN,7.5
2,28,5.1,0.5,1.5,0,1,0,0.5,0,0,0,1,NaN,8.1
73,31,35,5.1,12.3,2.7,3.3,3.6,3.5,1,0.4,1.9,14,NaN,9.6
